"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"PRDX2"	"PRDX2"	0.532078162934293	-0.157156269378123	-0.228230443300505	"S01"	0.532078162934293	"IS01"
"PKD2L2"	"PKD2L2"	0.530203031989283	0.21217203404721	-0.633274631277691	"S01"	0.530203031989283	"IS01"
"FRMD4A"	"FRMD4A"	0.529214715961966	0.0709265297002849	-0.477084085467828	"S01"	0.529214715961966	"IS01"
"PPARGC1A"	"PPARGC1A"	0.527568785452614	0.0898967346367616	-0.496720395390867	"S01"	0.527568785452614	"IS01"
"XPC"	"XPC"	0.525266838548198	0.359695490641885	-0.791907200411455	"S01"	0.525266838548198	"IS01"
"TMED8"	"TMED8"	0.516314199579182	0.253661668809189	-0.668463190413304	"S01"	0.516314199579182	"IS01"
"COLEC11"	"COLEC11"	0.515229881516927	0.310205796874097	-0.729874302501773	"S01"	0.515229881516927	"IS01"
"FN3K"	"FN3K"	0.515223357741361	0.0688142231138471	-0.464209959301947	"S01"	0.515223357741361	"IS01"
"HOXB5"	"HOXB5"	0.512861496785122	-0.0418152448738935	-0.340677725037696	"S01"	0.512861496785122	"IS01"
"TMEM63A"	"TMEM63A"	0.510407243565118	0.396149045726477	-0.820821433514262	"S01"	0.510407243565118	"IS01"
"WDR77"	"WDR77"	0.507862696323497	-0.0603169456705944	-0.316546902411464	"S01"	0.507862696323497	"IS01"
"ATP5S"	"ATP5S"	0.505771407148469	0.2285780616322	-0.632908600255532	"S01"	0.505771407148469	"IS01"
"GFRA2"	"GFRA2"	0.504099925238752	0.34916368698947	-0.76435678117757	"S01"	0.504099925238752	"IS01"
"NPIPB5"	"NPIPB5"	0.50349082870369	0.183627357058979	-0.581719307971727	"S01"	0.50349082870369	"IS01"
"VWA5B2"	"VWA5B2"	0.501540058253837	-0.0955781864482387	-0.272973479248738	"S01"	0.501540058253837	"IS01"
"NOL8"	"NOL8"	0.501419314262142	0.392027608899181	-0.809508770737881	"S01"	0.501419314262142	"IS01"
"ZNF467"	"ZNF467"	0.498358006458294	-0.0653262465708676	-0.303867479130851	"S01"	0.498358006458294	"IS01"
"MAP2"	"MAP2"	0.495433813451539	0.441926437770848	-0.859911026577227	"S01"	0.495433813451539	"IS01"
"AES"	"AES"	0.491525612370292	0.358389264205313	-0.765028821799898	"S01"	0.491525612370292	"IS01"
"HIST1H4I"	"HIST1H4I"	0.490475096727644	-0.11921027777376	-0.238622615671961	"S01"	0.490475096727644	"IS01"
"RHOBTB2"	"RHOBTB2"	0.490238717853699	0.400774641939767	-0.810705017728961	"S01"	0.490238717853699	"IS01"
"ABCC8"	"ABCC8"	0.490064538165372	0.391442539503908	-0.800303398603858	"S01"	0.490064538165372	"IS01"
"FAM118B"	"FAM118B"	0.48727812905747	0.114945065580719	-0.493907819901778	"S01"	0.48727812905747	"IS01"
"TUBB4A"	"TUBB4A"	0.486576230729354	0.253162491170819	-0.645491445669379	"S01"	0.486576230729354	"IS01"
"IRX1"	"IRX1"	0.486175583310629	0.154742060658363	-0.53687441365488	"S01"	0.486175583310629	"IS01"
"TELO2"	"TELO2"	0.485176351194941	-0.261967576702386	-0.0775182325575357	"S01"	0.485176351194941	"IS01"
"FOXF1"	"FOXF1"	0.484191771968549	0.14195335587873	-0.521304229621956	"S01"	0.484191771968549	"IS01"
