"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"GFI1"	"GFI1"	1.38961156422588	-0.410304405382301	-0.9411566657122	"IS01"	1.38961156422588
"CTLA4"	"CTLA4"	1.38726513279986	-0.435615685958174	-0.915717615330566	"IS01"	1.38726513279986
"P2RY10"	"P2RY10"	1.38282075647735	-0.424562242785735	-0.92164171618185	"IS01"	1.38282075647735
"ZBP1"	"ZBP1"	1.38122491848864	-0.0752956722366304	-1.24046120970795	"IS01"	1.38122491848864
"BTLA"	"BTLA"	1.37457182565282	-0.126098059634955	-1.18755971447178	"IS01"	1.37457182565282
"CXCL11"	"CXCL11"	1.37412926970502	-0.28834042272111	-1.03833831976883	"IS01"	1.37412926970502
"GPR171"	"GPR171"	1.37236807123789	-0.244972956223635	-1.07644335400755	"IS01"	1.37236807123789
"CRTAM"	"CRTAM"	1.3659664262212	-0.200715865842231	-1.11096477382422	"IS01"	1.3659664262212
"SNAI3"	"SNAI3"	1.36301179508609	-0.445765624947023	-0.883414285936542	"IS01"	1.36301179508609
"IL2RB"	"IL2RB"	1.36103137679816	-0.0716675001697405	-1.22464361278808	"IS01"	1.36103137679816
"PATL2"	"PATL2"	1.36030852422283	-0.292370897675922	-1.02153849181262	"IS01"	1.36030852422283
"CLEC10A"	"CLEC10A"	1.35999163533062	0.133448173161754	-1.41178124459583	"IS01"	1.35999163533062
"VAV1"	"VAV1"	1.35941402718266	0.376315822326391	-1.63398152923799	"IS01"	1.35941402718266
"C11orf21"	"C11orf21"	1.35934122439552	-0.647395439239416	-0.695007957906144	"IS01"	1.35934122439552
"GIMAP7"	"GIMAP7"	1.35924025623323	-0.032323197119699	-1.25903040345191	"IS01"	1.35924025623323
"GIMAP4"	"GIMAP4"	1.35864334432012	-0.156235890891395	-1.14481701303897	"IS01"	1.35864334432012
"PARVG"	"PARVG"	1.3556067801053	0.244291227339648	-1.50928457513778	"IS01"	1.3556067801053
"IRF8"	"IRF8"	1.35219991136095	0.120433248919428	-1.39245728822266	"IS01"	1.35219991136095
"XCR1"	"XCR1"	1.35216789897136	-0.343568948344961	-0.96686380321206	"IS01"	1.35216789897136
"CD6"	"CD6"	1.34750168826114	-0.874894920810658	-0.475130191286116	"IS01"	1.34750168826114
"GCH1"	"GCH1"	1.34680767036415	-0.171900506947499	-1.11922886170157	"IS01"	1.34680767036415
"NLRC5"	"NLRC5"	1.34516439128596	-0.108323635416072	-1.17598090270247	"IS01"	1.34516439128596
"IFNG"	"IFNG"	1.34242870434316	-0.38782182454391	-0.917043353735184	"IS01"	1.34242870434316
"PIK3R5"	"PIK3R5"	1.34095271896242	0.0696330139846486	-1.33520216832253	"IS01"	1.34095271896242
"ETV7"	"ETV7"	1.33771495577324	-0.127584090609495	-1.1512533289425	"IS01"	1.33771495577324
"HLA.DQA1"	"HLA.DQA1"	1.33741539124293	0.0139390181935819	-1.28076830882576	"IS01"	1.33741539124293
"ADAP1"	"ADAP1"	1.33549947206984	-0.545713358642647	-0.765662431590941	"IS01"	1.33549947206984
"PIK3AP1"	"PIK3AP1"	1.33364864710863	-0.137824065965312	-1.13800644992089	"IS01"	1.33364864710863
"HLA.DQB1"	"HLA.DQB1"	1.33254070258557	0.116244899649882	-1.36997730271933	"IS01"	1.33254070258557
"LIPM"	"LIPM"	1.33211792599072	-0.0228662835083416	-1.24198959764611	"IS01"	1.33211792599072
"TMPRSS13"	"TMPRSS13"	1.32864432767828	-0.199922023996303	-1.07630831443181	"IS01"	1.32864432767828
"NCF1"	"NCF1"	1.32796302462665	0.0328153727035002	-1.28911924956482	"IS01"	1.32796302462665
"IL18"	"IL18"	1.32548577115557	0.027888561646511	-1.28225193953868	"IS01"	1.32548577115557
"CD7"	"CD7"	1.32510853237545	-0.565803674063736	-0.737384948002214	"IS01"	1.32510853237545
"MYO1F"	"MYO1F"	1.32447106228651	0.171247205879937	-1.41277237674326	"IS01"	1.32447106228651
"APOBEC3G"	"APOBEC3G"	1.32214483390797	-0.420227286600601	-0.868091596609329	"IS01"	1.32214483390797
"RAC2"	"RAC2"	1.32017318824529	-0.217252310733714	-1.05238234672089	"IS01"	1.32017318824529
"FAM78A"	"FAM78A"	1.31979913515286	-0.502693534239572	-0.790233129318054	"IS01"	1.31979913515286
"STAT4"	"STAT4"	1.31755149889564	0.0520480514593319	-1.29688763101674	"IS01"	1.31755149889564
"NLRC3"	"NLRC3"	1.31076796481059	-0.574318024343856	-0.71597986404519	"IS01"	1.31076796481059
"IRF1"	"IRF1"	1.30969358003493	-0.317307934338366	-0.950680008892881	"IS01"	1.30969358003493
"GPR132"	"GPR132"	1.30940956212627	-0.298907003419775	-0.967287289011959	"IS01"	1.30940956212627
"PTAFR"	"PTAFR"	1.30726621065623	0.103785970848674	-1.33458812438285	"IS01"	1.30726621065623
"ANKRD22"	"ANKRD22"	1.30055548218967	-0.0549170044941062	-1.18267014302046	"IS01"	1.30055548218967
"IGFLR1"	"IGFLR1"	1.29960690256826	0.165145213558144	-1.38360254090082	"IS01"	1.29960690256826
"CECR1"	"CECR1"	1.29935079872778	-0.226775554643112	-1.023906627433	"IS01"	1.29935079872778
"BATF"	"BATF"	1.29882504682587	0.2253501539898	-1.43807869262342	"IS01"	1.29882504682587
"PDE6G"	"PDE6G"	1.29870214611835	-0.42822984026442	-0.838526323326984	"IS01"	1.29870214611835
"KLRG1"	"KLRG1"	1.29619311761986	-0.311023905007484	-0.943643862480672	"IS01"	1.29619311761986
"PLEK"	"PLEK"	1.29241068193879	0.270769436065555	-1.47365396584377	"IS01"	1.29241068193879
"GIMAP2"	"GIMAP2"	1.29204332282618	-0.0686441721864681	-1.16200991287221	"IS01"	1.29204332282618
"PTPRC"	"PTPRC"	1.2918783226116	0.245797520379519	-1.45024606185208	"IS01"	1.2918783226116
"LCP1"	"LCP1"	1.28987334407988	-0.360125216098572	-0.892618537446299	"IS01"	1.28987334407988
"LYZ"	"LYZ"	1.28561316373115	0.281412858497684	-1.47697103355134	"IS01"	1.28561316373115
"CSF2RB"	"CSF2RB"	1.28089774330301	0.239919619833311	-1.4344445736414	"IS01"	1.28089774330301
"IFI35"	"IFI35"	1.28057121404316	-0.151403491269307	-1.07523003660136	"IS01"	1.28057121404316
"SAMD3"	"SAMD3"	1.27923878810669	-0.510472203165693	-0.744644190459864	"IS01"	1.27923878810669
"AMICA1"	"AMICA1"	1.27449409664275	0.237266774673972	-1.42594029255079	"IS01"	1.27449409664275
"AKNA"	"AKNA"	1.27244994658828	-0.166586741656256	-1.05360494808508	"IS01"	1.27244994658828
"HLA.DOA"	"HLA.DOA"	1.27184958547107	-0.607332297349093	-0.648802625144118	"IS01"	1.27184958547107
"FCN1"	"FCN1"	1.27160339157272	0.15238465998967	-1.34534938193447	"IS01"	1.27160339157272
"CTSS"	"CTSS"	1.27106006026101	0.223230473824187	-1.40981103294114	"IS01"	1.27106006026101
"SH2D2A"	"SH2D2A"	1.26686124772013	-0.354335403810238	-0.876111274664225	"IS01"	1.26686124772013
"CORO1A"	"CORO1A"	1.26631256221959	-0.160775855557733	-1.05311568170881	"IS01"	1.26631256221959
"UNC13D"	"UNC13D"	1.26628382180865	-0.262798251230391	-0.959517819345497	"IS01"	1.26628382180865
"UCP2"	"UCP2"	1.26616931341835	-0.001292062290664	-1.19925164023793	"IS01"	1.26616931341835
"LILRB2"	"LILRB2"	1.264810884835	0.0697624841237038	-1.26313195007447	"IS01"	1.264810884835
"RASGRP1"	"RASGRP1"	1.26445782688261	-0.285152032512062	-0.937284680130766	"IS01"	1.26445782688261
"MYO1G"	"MYO1G"	1.26148809402527	0.210121757737061	-1.38871323293008	"IS01"	1.26148809402527
"STXBP2"	"STXBP2"	1.26104002907541	0.126367660153441	-1.31147272323689	"IS01"	1.26104002907541
"ITGB2"	"ITGB2"	1.26091133363691	0.0974342564751163	-1.28481421833378	"IS01"	1.26091133363691
"IL18RAP"	"IL18RAP"	1.26003932740208	-0.0855654999534352	-1.11614786733297	"IS01"	1.26003932740208
"FCRL6"	"FCRL6"	1.25999706916048	-0.374984111643305	-0.850665328050358	"IS01"	1.25999706916048
"TRPM2"	"TRPM2"	1.25803203896216	0.140152688122473	-1.32126393462468	"IS01"	1.25803203896216
"TRIM14"	"TRIM14"	1.25728215172304	-0.104182763684547	-1.09645886463499	"IS01"	1.25728215172304
"SLFN12L"	"SLFN12L"	1.255656445921	-0.428009532916514	-0.79791737914269	"IS01"	1.255656445921
"CLEC12A"	"CLEC12A"	1.25535393390888	0.0505975818847827	-1.23658871733813	"IS01"	1.25535393390888
"GZMB"	"GZMB"	1.25245067974922	-0.0939224417112462	-1.10128854861986	"IS01"	1.25245067974922
"CCR2"	"CCR2"	1.25206231566057	-0.740254832394507	-0.50813169194818	"IS01"	1.25206231566057
"PSD4"	"PSD4"	1.24830074739832	-0.434298767560814	-0.7851753293655	"IS01"	1.24830074739832
"KCNJ10"	"KCNJ10"	1.24637307004217	-0.610166378688253	-0.622049413124506	"IS01"	1.24637307004217
"HCST"	"HCST"	1.24425778086154	-0.33880199017358	-0.868927845433022	"IS01"	1.24425778086154
"VNN2"	"VNN2"	1.24058542274698	0.191390205457536	-1.35171592981156	"IS01"	1.24058542274698
"HEATR9"	"HEATR9"	1.23872002010401	-0.547706044070554	-0.672079637698116	"IS01"	1.23872002010401
"SERPINA1"	"SERPINA1"	1.2384124502604	-0.179456824515149	-1.00953059998281	"IS01"	1.2384124502604
"FAM26F"	"FAM26F"	1.23805985280537	0.0439258120503728	-1.21407338688929	"IS01"	1.23805985280537
"HCK"	"HCK"	1.23791310928429	0.327230636482764	-1.47376943000206	"IS01"	1.23791310928429
"P2RY6"	"P2RY6"	1.23727166894966	0.243971708213642	-1.39679973221854	"IS01"	1.23727166894966
"PTPN6"	"PTPN6"	1.2361399353797	0.0901688600987925	-1.2546653034274	"IS01"	1.2361399353797
